Time,VehicleId,Pos_x,Pos_y,Speed,Lane,Acceleration,LeaderID,LeaderSpeed,LeaderGap,Deceleration,RelativeSpeed,TTC,SafeDistance,hard_brake,danger_accel_toward_leader,leader_stopped,no_reaction_to_stopped_leader,SafeDangerZone
6.8,4,-1.6,53.28,11.36,16,3.26,-1,-1.0,-1.0,0.0,12.36,999.0,3.4079999999999995,False,False,False,False,0
6.8,10101,-60.73,-1.6,2.62,21,-3.95,-1,-1.0,-1.0,3.95,3.62,999.0,0.786,False,False,False,False,0
6.9,0,-73.23,-1.6,3.86,21,-1.78,10101,2.22,7.72,1.78,1.6399999999999997,4.707317073170732,1.158,False,False,False,False,1
6.9,1,-90.35,-1.6,3.64,21,1.45,0,3.86,12.11,0.0,-0.21999999999999975,999.0,1.092,False,False,False,False,1
6.9,2,30.39,1.6,9.67,14,-2.0,-1,-1.0,-1.0,2.0,10.67,999.0,2.901,False,False,False,False,0
6.9,4,-1.6,52.14,11.34,16,-0.21,-1,-1.0,-1.0,0.21,12.34,999.0,3.4019999999999997,False,False,False,False,0
6.9,10101,-60.51,-1.6,2.22,21,-4.0,-1,-1.0,-1.0,4.0,3.22,999.0,0.6660000000000001,False,False,False,False,0
7.0,0,-72.86,-1.6,3.74,21,-1.24,10101,1.82,7.53,1.24,1.9200000000000002,3.921875,1.1219999999999999,False,False,False,False,1
7.0,1,-89.97,-1.6,3.79,21,1.46,0,3.74,12.11,0.0,0.04999999999999982,242.20000000000084,1.137,False,False,False,False,1
7.0,2,29.45,1.6,9.48,14,-1.9,-1,-1.0,-1.0,1.9,10.48,999.0,2.8440000000000003,False,False,False,False,0
7.0,4,-1.6,50.99,11.51,16,1.64,-1,-1.0,-1.0,0.0,12.51,999.0,3.4530000000000003,False,False,False,False,0
7.0,10101,-60.33,-1.6,1.82,21,-4.0,-1,-1.0,-1.0,4.0,2.8200000000000003,999.0,0.546,False,False,False,False,0
7.1,0,-72.51,-1.6,3.48,21,-2.56,10101,1.42,7.33,2.56,2.06,3.558252427184466,1.044,False,False,False,False,1
7.1,1,-89.58,-1.6,3.9,21,1.18,0,3.48,12.07,0.0,0.41999999999999993,28.738095238095244,1.17,False,False,False,False,1
7.1,2,28.52,1.6,9.28,14,-2.0,-1,-1.0,-1.0,2.0,10.28,999.0,2.784,False,False,False,False,0
7.1,4,-1.6,49.85,11.39,16,-1.15,-1,-1.0,-1.0,1.15,12.39,999.0,3.417,False,False,False,False,0
7.1,10101,-60.19,-1.6,1.42,21,-4.0,-1,-1.0,-1.0,4.0,2.42,999.0,0.42599999999999993,False,False,False,False,0
7.2,0,-72.18,-1.6,3.3,21,-1.81,10101,1.02,7.1,1.81,2.28,3.1140350877192984,0.9899999999999999,False,False,False,False,1
7.2,1,-89.17,-1.6,4.1,21,1.98,0,3.3,11.99,0.0,0.7999999999999998,14.987500000000004,1.23,False,False,False,False,1
7.2,2,27.61,1.6,9.08,14,-2.0,-1,-1.0,-1.0,2.0,10.08,999.0,2.724,False,False,False,False,0
7.2,4,-1.6,48.71,11.43,16,0.43,-1,-1.0,-1.0,0.0,12.43,999.0,3.4290000000000003,False,False,False,False,0
7.2,10101,-60.09,-1.6,1.02,21,-4.0,-1,-1.0,-1.0,4.0,2.02,999.0,0.30600000000000005,False,False,False,False,0
7.3,0,-71.86,-1.6,3.23,21,-0.64,10101,0.62,6.84,0.64,2.61,2.6206896551724137,0.9690000000000001,False,False,False,False,1
7.3,1,-88.74,-1.6,4.27,21,1.69,0,3.23,11.88,0.0,1.0399999999999996,11.423076923076929,1.2809999999999997,False,False,False,False,1
7.3,2,26.72,1.6,8.88,14,-2.0,-1,-1.0,-1.0,2.0,9.88,999.0,2.6640000000000006,False,False,False,False,0
7.3,4,-1.6,47.58,11.33,16,-1.03,-1,-1.0,-1.0,1.03,12.33,999.0,3.399,False,False,False,False,0
7.3,10101,-60.02,-1.6,0.62,21,-4.0,-1,-1.0,-1.0,4.0,1.62,999.0,0.186,False,False,False,False,0
