"Time","VehicleId","Pos_x","Pos_y","Type","Speed","Lane","Slope","LeaderID","LeaderSpeed","LeaderGap","Acceleration"
"3.30","x","-86.87","-1.60","obstacle","7.42","west_right_0","0.00","-1","-1","-1","2.04"
"3.40","vehicle_0","-94.47","-1.60","type1","4.33","west_right_0","0.00","x","7.60","3.36","43.31"
"3.40","vehicle_2","75.04","1.60","type3","14.57","east_left_0","0.00","-1","-1","-1","1.37"
"3.40","vehicle_3","85.15","1.60","type3","12.77","east_left_0","0.00","vehicle_2","14.57","5.11","-2.00"
"3.40","vehicle_4","-1.60","91.44","type2","11.36","north_down_0","0.00","-1","-1","-1","-1.83"
"3.40","x","-86.11","-1.60","obstacle","7.60","west_right_0","0.00","-1","-1","-1","1.79"
"3.50","vehicle_0","-94.00","-1.60","type1","4.68","west_right_0","0.00","x","7.83","3.67","3.50"
"3.50","vehicle_2","73.54","1.60","type3","14.99","east_left_0","0.00","-1","-1","-1","4.17"
"3.50","vehicle_3","83.88","1.60","type3","12.66","east_left_0","0.00","vehicle_2","14.99","5.34","-1.11"
"3.50","vehicle_4","-1.60","90.32","type2","11.25","north_down_0","0.00","-1","-1","-1","-1.06"
"3.50","x","-85.33","-1.60","obstacle","7.83","west_right_0","0.00","-1","-1","-1","2.25"
"3.60","vehicle_0","-93.52","-1.60","type1","4.80","west_right_0","0.00","x","8.07","4.00","1.23"
"3.60","vehicle_2","72.06","1.60","type3","14.79","east_left_0","0.00","-1","-1","-1","-2.00"
"3.60","vehicle_3","82.57","1.60","type3","13.12","east_left_0","0.00","vehicle_2","14.79","5.51","4.63"
"3.60","vehicle_4","-1.60","89.17","type2","11.41","north_down_0","0.00","-1","-1","-1","1.61"
"3.60","x","-84.52","-1.60","obstacle","8.07","west_right_0","0.00","-1","-1","-1","2.45"
"3.70","vehicle_0","-92.99","-1.60","type1","5.29","west_right_0","0.00","x","8.24","4.29","4.90"
"3.70","vehicle_2","70.60","1.60","type3","14.59","east_left_0","0.00","-1","-1","-1","-2.00"
"3.70","vehicle_3","81.28","1.60","type3","12.92","east_left_0","0.00","vehicle_2","14.59","5.67","-2.00"
"3.70","vehicle_4","-1.60","88.07","type2","11.07","north_down_0","0.00","-1","-1","-1","-3.44"
"3.70","x","-83.70","-1.60","obstacle","8.24","west_right_0","0.00","-1","-1","-1","1.70"
"3.80","vehicle_0","-92.44","-1.60","type1","5.48","west_right_0","0.00","x","8.40","4.58","1.91"
"3.80","vehicle_2","69.14","1.60","type3","14.62","east_left_0","0.00","-1","-1","-1","0.34"
"3.80","vehicle_3","80.00","1.60","type3","12.72","east_left_0","0.00","vehicle_2","14.62","5.86","-2.00"
"3.80","vehicle_4","-1.60","86.95","type2","11.17","north_down_0","0.00","-1","-1","-1","1.04"
"3.80","vehicle_5","-1.60","94.90","type4","0.00","north_down_0","0.00","vehicle_4","11.17","2.95","0.00"
"3.80","x","-82.86","-1.60","obstacle","8.40","west_right_0","0.00","-1","-1","-1","1.57"
"3.90","vehicle_0","-91.87","-1.60","type1","5.69","west_right_0","0.00","x","8.61","4.88","2.06"
"3.90","vehicle_2","67.69","1.60","type3","14.48","east_left_0","0.00","-1","-1","-1","-1.47"
"3.90","vehicle_3","78.74","1.60","type3","12.61","east_left_0","0.00","vehicle_2","14.48","6.05","-1.16"
"3.90","vehicle_4","-1.60","85.82","type2","11.32","north_down_0","0.00","-1","-1","-1","1.45"
"3.90","vehicle_5","-1.60","94.78","type4","1.18","north_down_0","0.00","vehicle_4","11.32","3.96","11.82"
"3.90","x","-82.00","-1.60","obstacle","8.61","west_right_0","0.00","-1","-1","-1","2.09"
"4.00","vehicle_0","-91.28","-1.60","type1","5.95","west_right_0","0.00","x","8.76","5.16","2.64"
"4.00","vehicle_2","66.24","1.60","type3","14.55","east_left_0","0.00","-1","-1","-1","0.70"
"4.00","vehicle_3","77.49","1.60","type3","12.57","east_left_0","0.00","vehicle_2","14.55","6.25","-0.33"
"4.00","vehicle_4","-1.60","84.72","type2","10.99","north_down_0","0.00","-1","-1","-1","-3.21"
"4.00","vehicle_5","-1.60","94.57","type4","2.15","north_down_0","0.00","vehicle_4","10.99","4.85","9.66"
"4.00","x","-81.12","-1.60","obstacle","8.76","west_right_0","0.00","-1","-1","-1","1.55"
"4.10","vehicle_0","-90.65","-1.60","type1","6.30","west_right_0","0.00","x","9.02","5.43","3.43"
"4.10","vehicle_2","64.75","1.60","type3","14.86","east_left_0","0.00","-1","-1","-1","3.15"
"4.10","vehicle_3","76.21","1.60","type3","12.74","east_left_0","0.00","vehicle_2","14.86","6.46","1.67"
"4.10","vehicle_4","-1.60","83.61","type2","11.09","north_down_0","0.00","-1","-1","-1","0.94"
"4.10","vehicle_5","-1.60","94.28","type4","2.90","north_down_0","0.00","vehicle_4","11.09","5.67","7.56"
"4.10","x","-80.22","-1.60","obstacle","9.02","west_right_0","0.00","-1","-1","-1","2.57"
"4.20","vehicle_0","-90.01","-1.60","type1","6.37","west_right_0","0.00","x","9.22","5.71","0.68"
"4.20","vehicle_2","63.29","1.60","type3","14.66","east_left_0","0.00","-1","-1","-1","-2.00"
"4.20","vehicle_3","74.89","1.60","type3","13.27","east_left_0","0.00","vehicle_2","14.66","6.60","5.26"
"4.20","vehicle_4","-1.60","82.49","type2","11.23","north_down_0","0.00","-1","-1","-1","1.46"
"4.20","vehicle_5","-1.60","93.89","type4","3.84","north_down_0","0.00","vehicle_4","11.23","6.40","9.33"
"4.20","x","-79.30","-1.60","obstacle","9.22","west_right_0","0.00","-1","-1","-1","1.97"
"4.30","vehicle_0","-89.35","-1.60","type1","6.64","west_right_0","0.00","x","9.37","5.99","2.75"
"4.30","vehicle_2","61.84","1.60","type3","14.46","east_left_0","0.00","-1","-1","-1","-2.00"
"4.30","vehicle_3","73.58","1.60","type3","13.07","east_left_0","0.00","vehicle_2","14.46","6.74","-2.00"
"4.30","vehicle_4","-1.60","81.38","type2","11.07","north_down_0","0.00","-1","-1","-1","-1.65"
"4.30","vehicle_5","-1.60","93.43","type4","4.63","north_down_0","0.00","vehicle_4","11.07","7.05","7.94"
"4.30","x","-78.36","-1.60","obstacle","9.37","west_right_0","0.00","-1","-1","-1","1.51"
"4.40","vehicle_0","-88.66","-1.60","type1","6.90","west_right_0","0.00","x","9.65","6.26","2.63"
"4.40","vehicle_2","60.41","1.60","type3","14.26","east_left_0","0.00","-1","-1","-1","-2.00"
"4.40","vehicle_3","72.29","1.60","type3","12.87","east_left_0","0.00","vehicle_2","14.26","6.88","-2.00"
"4.40","vehicle_4","-1.60","80.26","type2","11.25","north_down_0","0.00","-1","-1","-1","1.84"
"4.40","vehicle_5","-1.60","92.93","type4","5.02","north_down_0","0.00","vehicle_4","11.25","7.67","3.88"
"4.40","x","-77.39","-1.60","obstacle","9.65","west_right_0","0.00","-1","-1","-1","2.83"
"4.50","vehicle_0","-87.94","-1.60","type1","7.18","west_right_0","0.00","x","9.94","6.54","2.73"
"4.50","vehicle_2","59.01","1.60","type3","14.06","east_left_0","0.00","-1","-1","-1","-2.00"
"4.50","vehicle_3","71.01","1.60","type3","12.83","east_left_0","0.00","vehicle_2","14.06","7.00","-0.38"
"4.50","vehicle_4","-1.60","79.12","type2","11.31","north_down_0","0.00","-1","-1","-1","0.56"
"4.50","vehicle_5","-1.60","92.35","type4","5.78","north_down_0","0.00","vehicle_4","11.31","8.22","7.61"
"4.50","x","-76.40","-1.60","obstacle","9.94","west_right_0","0.00","-1","-1","-1","2.89"
"4.60","vehicle_0","-87.17","-1.60","type1","7.64","west_right_0","0.00","x","9.85","6.76","4.66"
"4.60","vehicle_1","-94.90","-1.60","type5","0.00","west_right_0","0.00","vehicle_0","7.64","2.73","0.00"
"4.60","vehicle_2","57.62","1.60","type3","13.86","east_left_0","0.00","-1","-1","-1","-2.00"
