Time,VehicleId,Pos_x,Pos_y,Angle,Type,Speed,Lane,Slope,Acceleration,LeaderID,LeaderSpeed,LeaderGap
3.5,2,73.54,1.6,270,type3,14.99,east_left_0,0,4.17,-1,-1,-1
3.5,3,83.88,1.6,270,type3,12.66,east_left_0,0,-1.11,2,14.99,5.34
3.5,4,-1.6,90.32,180,type2,11.25,north_down_0,0,-1.06,-1,-1,-1
3.5,10101,-85.33,-1.6,90,obstacle,7.83,west_right_0,0,2.25,-1,-1,-1
3.6,0,-93.52,-1.6,90,type1,4.8,west_right_0,0,1.23,10101,8.07,4
3.6,2,72.06,1.6,270,type3,14.79,east_left_0,0,-2,-1,-1,-1
3.6,3,82.57,1.6,270,type3,13.12,east_left_0,0,4.63,2,14.79,5.51
3.6,4,-1.6,89.17,180,type2,11.41,north_down_0,0,1.61,-1,-1,-1
3.6,10101,-84.52,-1.6,90,obstacle,8.07,west_right_0,0,2.45,-1,-1,-1
3.7,0,-92.99,-1.6,90,type1,5.29,west_right_0,0,4.9,10101,8.24,4.29
3.7,2,70.6,1.6,270,type3,14.59,east_left_0,0,-2,-1,-1,-1
3.7,3,81.28,1.6,270,type3,12.92,east_left_0,0,-2,2,14.59,5.67
3.7,4,-1.6,88.07,180,type2,11.07,north_down_0,0,-3.44,-1,-1,-1
3.7,10101,-83.7,-1.6,90,obstacle,8.24,west_right_0,0,1.7,-1,-1,-1
3.8,0,-92.44,-1.6,90,type1,5.48,west_right_0,0,1.91,10101,8.4,4.58
3.8,2,69.14,1.6,270,type3,14.62,east_left_0,0,0.34,-1,-1,-1
3.8,3,80,1.6,270,type3,12.72,east_left_0,0,-2,2,14.62,5.86
3.8,4,-1.6,86.95,180,type2,11.17,north_down_0,0,1.04,-1,-1,-1
3.8,5,-1.6,94.9,180,type4,0,north_down_0,0,0,4,11.17,2.95
3.8,10101,-82.86,-1.6,90,obstacle,8.4,west_right_0,0,1.57,-1,-1,-1
3.9,0,-91.87,-1.6,90,type1,5.69,west_right_0,0,2.06,10101,8.61,4.88
3.9,2,67.69,1.6,270,type3,14.48,east_left_0,0,-1.47,-1,-1,-1
3.9,3,78.74,1.6,270,type3,12.61,east_left_0,0,-1.16,2,14.48,6.05
3.9,4,-1.6,85.82,180,type2,11.32,north_down_0,0,1.45,-1,-1,-1
3.9,5,-1.6,94.78,180,type4,1.18,north_down_0,0,11.82,4,11.32,3.96
3.9,10101,-82,-1.6,90,obstacle,8.61,west_right_0,0,2.09,-1,-1,-1
4,0,-91.28,-1.6,90,type1,5.95,west_right_0,0,2.64,10101,8.76,5.16
4,2,66.24,1.6,270,type3,14.55,east_left_0,0,0.7,-1,-1,-1
4,3,77.49,1.6,270,type3,12.57,east_left_0,0,-0.33,2,14.55,6.25
4,4,-1.6,84.72,180,type2,10.99,north_down_0,0,-3.21,-1,-1,-1
4,5,-1.6,94.57,180,type4,2.15,north_down_0,0,9.66,4,10.99,4.85
4,10101,-81.12,-1.6,90,obstacle,8.76,west_right_0,0,1.55,-1,-1,-1
4.1,0,-90.65,-1.6,90,type1,6.3,west_right_0,0,3.43,10101,9.02,5.43
4.1,2,64.75,1.6,270,type3,14.86,east_left_0,0,3.15,-1,-1,-1
4.1,3,76.21,1.6,270,type3,12.74,east_left_0,0,1.67,2,14.86,6.46
4.1,4,-1.6,83.61,180,type2,11.09,north_down_0,0,0.94,-1,-1,-1
4.1,5,-1.6,94.28,180,type4,2.9,north_down_0,0,7.56,4,11.09,5.67
4.1,10101,-80.22,-1.6,90,obstacle,9.02,west_right_0,0,2.57,-1,-1,-1
4.2,0,-90.01,-1.6,90,type1,6.37,west_right_0,0,0.68,10101,9.22,5.71
4.2,2,63.29,1.6,270,type3,14.66,east_left_0,0,-2,-1,-1,-1
4.2,3,74.89,1.6,270,type3,13.27,east_left_0,0,5.26,2,14.66,6.6
4.2,4,-1.6,82.49,180,type2,11.23,north_down_0,0,1.46,-1,-1,-1
4.2,5,-1.6,93.89,180,type4,3.84,north_down_0,0,9.33,4,11.23,6.4
4.2,10101,-79.3,-1.6,90,obstacle,9.22,west_right_0,0,1.97,-1,-1,-1
4.3,0,-89.35,-1.6,90,type1,6.64,west_right_0,0,2.75,10101,9.37,5.99
4.3,2,61.84,1.6,270,type3,14.46,east_left_0,0,-2,-1,-1,-1
4.3,3,73.58,1.6,270,type3,13.07,east_left_0,0,-2,2,14.46,6.74
