Time,VehicleId,Pos_x,Pos_y,Speed,Lane,LeaderID,LeaderSpeed,LeaderGap,Acceleration,Deceleration,RelativeSpeed,TTC,SafeDistance,LanePrev,lane_opposite_change,SafeUnsafeOvertaking
3.0,4,-1.6,94.9,0.0,16,-1.0,-1.0,-1.0,0.0,0.0,1.0,999.0,999.0,999.0,False,0
3.0,10101,-89.04,-1.6,6.83,21,-1.0,-1.0,-1.0,2.49,0.0,7.83,999.0,999.0,21.0,False,0
3.1,2,79.4,1.6,14.51,14,-1.0,-1.0,-1.0,-2.0,2.0,15.51,999.0,68.145025,14.0,False,0
3.1,3,88.97,1.6,12.67,14,2.0,14.51,4.57,-1.22,1.22,-1.8399999999999999,999.0,63.95053278688525,14.0,False,0
3.1,4,-1.6,94.51,3.94,16,-1.0,-1.0,-1.0,39.39,0.0,4.9399999999999995,999.0,999.0,16.0,False,0
3.1,10101,-88.34,-1.6,7.03,21,-1.0,-1.0,-1.0,2.04,0.0,8.030000000000001,999.0,999.0,21.0,False,0
3.2,2,77.94,1.6,14.63,14,-1.0,-1.0,-1.0,1.27,0.0,15.63,999.0,999.0,14.0,False,0
3.2,3,87.72,1.6,12.47,14,2.0,14.63,4.78,-2.0,2.0,-2.16,999.0,36.715225000000004,14.0,False,0
3.2,4,-1.6,93.73,7.76,16,-1.0,-1.0,-1.0,38.21,0.0,8.76,999.0,999.0,16.0,False,0
3.2,10101,-87.61,-1.6,7.22,21,-1.0,-1.0,-1.0,1.89,0.0,8.219999999999999,999.0,999.0,21.0,False,0
3.3,0,-94.9,-1.6,0.0,21,10101.0,7.42,3.03,0.0,0.0,-7.42,999.0,999.0,999.0,False,0
3.3,2,76.5,1.6,14.43,14,-1.0,-1.0,-1.0,-2.0,2.0,15.43,999.0,67.48622499999999,14.0,False,0
3.3,3,86.42,1.6,12.97,14,2.0,14.43,4.93,4.99,0.0,-1.459999999999999,999.0,999.0,14.0,False,0
3.3,4,-1.6,92.58,11.54,16,-1.0,-1.0,-1.0,37.79,0.0,12.54,999.0,999.0,16.0,False,0
3.3,10101,-86.87,-1.6,7.42,21,-1.0,-1.0,-1.0,2.04,0.0,8.42,999.0,999.0,21.0,False,0
3.4,0,-94.47,-1.6,4.33,21,10101.0,7.6,3.36,43.31,0.0,-3.2699999999999996,999.0,999.0,21.0,False,0
3.4,2,75.04,1.6,14.57,14,-1.0,-1.0,-1.0,1.37,0.0,15.57,999.0,999.0,14.0,False,0
3.4,3,85.15,1.6,12.77,14,2.0,14.57,5.11,-2.0,2.0,-1.8000000000000007,999.0,38.96822499999999,14.0,False,0
3.4,4,-1.6,91.44,11.36,16,-1.0,-1.0,-1.0,-1.83,1.83,12.36,999.0,47.619453551912564,16.0,False,0
3.4,10101,-86.11,-1.6,7.6,21,-1.0,-1.0,-1.0,1.79,0.0,8.6,999.0,999.0,21.0,False,0
3.5,0,-94.0,-1.6,4.68,21,10101.0,7.83,3.67,3.5,0.0,-3.1500000000000004,999.0,999.0,21.0,False,0
3.5,2,73.54,1.6,14.99,14,-1.0,-1.0,-1.0,4.17,0.0,15.99,999.0,999.0,14.0,False,0
3.5,3,83.88,1.6,12.66,14,2.0,14.99,5.34,-1.11,1.11,-2.33,999.0,69.86621621621622,14.0,False,0
3.5,4,-1.6,90.32,11.25,16,-1.0,-1.0,-1.0,-1.06,1.06,12.25,999.0,71.94929245283018,16.0,False,0
3.5,10101,-85.33,-1.6,7.83,21,-1.0,-1.0,-1.0,2.25,0.0,8.83,999.0,999.0,21.0,False,0
3.6,0,-93.52,-1.6,4.8,21,10101.0,8.07,4.0,1.23,0.0,-3.2700000000000005,999.0,999.0,21.0,False,0
3.6,2,72.06,1.6,14.79,14,-1.0,-1.0,-1.0,-2.0,2.0,15.79,999.0,70.47602499999999,14.0,False,0
3.6,3,82.57,1.6,13.12,14,2.0,14.79,5.51,4.63,0.0,-1.67,999.0,999.0,14.0,False,0
3.6,4,-1.6,89.17,11.41,16,-1.0,-1.0,-1.0,1.61,0.0,12.41,999.0,999.0,16.0,False,0
3.6,10101,-84.52,-1.6,8.07,21,-1.0,-1.0,-1.0,2.45,0.0,9.07,999.0,999.0,21.0,False,0
3.7,0,-92.99,-1.6,5.29,21,10101.0,8.24,4.29,4.9,0.0,-2.95,999.0,999.0,21.0,False,0
3.7,2,70.6,1.6,14.59,14,-1.0,-1.0,-1.0,-2.0,2.0,15.59,999.0,68.807025,14.0,False,0
3.7,3,81.28,1.6,12.92,14,2.0,14.59,5.67,-2.0,2.0,-1.67,999.0,40.0616,14.0,False,0
3.7,4,-1.6,88.07,11.07,16,-1.0,-1.0,-1.0,-3.44,3.44,12.07,999.0,29.881758720930236,16.0,False,0
3.7,10101,-83.7,-1.6,8.24,21,-1.0,-1.0,-1.0,1.7,0.0,9.24,999.0,999.0,21.0,False,0
3.8,0,-92.44,-1.6,5.48,21,10101.0,8.4,4.58,1.91,0.0,-2.92,999.0,999.0,21.0,False,0
3.8,2,69.14,1.6,14.62,14,-1.0,-1.0,-1.0,0.34,0.0,15.62,999.0,999.0,14.0,False,0
3.8,3,80.0,1.6,12.72,14,2.0,14.62,5.86,-2.0,2.0,-1.8999999999999986,999.0,38.549600000000005,14.0,False,0
3.8,4,-1.6,86.95,11.17,16,-1.0,-1.0,-1.0,1.04,0.0,12.17,999.0,999.0,16.0,False,0
3.8,5,-1.6,94.9,0.0,16,4.0,11.17,2.95,0.0,0.0,-11.17,999.0,999.0,999.0,False,0
3.8,10101,-82.86,-1.6,8.4,21,-1.0,-1.0,-1.0,1.57,0.0,9.4,999.0,999.0,21.0,False,0
3.9,0,-91.87,-1.6,5.69,21,10101.0,8.61,4.88,2.06,0.0,-2.919999999999999,999.0,999.0,21.0,False,0
3.9,2,67.69,1.6,14.48,14,-1.0,-1.0,-1.0,-1.47,1.47,15.48,999.0,86.79646258503402,14.0,False,0
3.9,3,78.74,1.6,12.61,14,2.0,14.48,6.05,-1.16,1.16,-1.870000000000001,999.0,66.66969827586206,14.0,False,0
3.9,4,-1.6,85.82,11.32,16,-1.0,-1.0,-1.0,1.45,0.0,12.32,999.0,999.0,16.0,False,0
3.9,5,-1.6,94.78,1.18,16,4.0,11.32,3.96,11.82,0.0,-10.14,999.0,999.0,16.0,False,0
3.9,10101,-82.0,-1.6,8.61,21,-1.0,-1.0,-1.0,2.09,0.0,9.61,999.0,999.0,21.0,False,0
4.0,0,-91.28,-1.6,5.95,21,10101.0,8.76,5.16,2.64,0.0,-2.8099999999999996,999.0,999.0,21.0,False,0
4.0,2,66.24,1.6,14.55,14,-1.0,-1.0,-1.0,0.7,0.0,15.55,999.0,999.0,14.0,False,0
4.0,3,77.49,1.6,12.57,14,2.0,14.55,6.25,-0.33,0.33,-1.9800000000000004,999.0,237.42136363636368,14.0,False,0
4.0,4,-1.6,84.72,10.99,16,-1.0,-1.0,-1.0,-3.21,3.21,11.99,999.0,30.803099688473523,16.0,False,0
4.0,5,-1.6,94.57,2.15,16,4.0,10.99,4.85,9.66,0.0,-8.84,999.0,999.0,16.0,False,0
4.0,10101,-81.12,-1.6,8.76,21,-1.0,-1.0,-1.0,1.55,0.0,9.76,999.0,999.0,21.0,False,0
4.1,0,-90.65,-1.6,6.3,21,10101.0,9.02,5.43,3.43,0.0,-2.7199999999999998,999.0,999.0,21.0,False,0
4.1,2,64.75,1.6,14.86,14,-1.0,-1.0,-1.0,3.15,0.0,15.86,999.0,999.0,14.0,False,0
4.1,3,76.21,1.6,12.74,14,2.0,14.86,6.46,1.67,0.0,-2.119999999999999,999.0,999.0,14.0,False,0
4.1,4,-1.6,83.61,11.09,16,-1.0,-1.0,-1.0,0.94,0.0,12.09,999.0,999.0,16.0,False,0
4.1,5,-1.6,94.28,2.9,16,4.0,11.09,5.67,7.56,0.0,-8.19,999.0,999.0,16.0,False,0
4.1,10101,-80.22,-1.6,9.02,21,-1.0,-1.0,-1.0,2.57,0.0,10.02,999.0,999.0,21.0,False,0
4.2,0,-90.01,-1.6,6.37,21,10101.0,9.22,5.71,0.68,0.0,-2.8500000000000005,999.0,999.0,21.0,False,0
4.2,2,63.29,1.6,14.66,14,-1.0,-1.0,-1.0,-2.0,2.0,15.66,999.0,69.3889,14.0,False,0
4.2,3,74.89,1.6,13.27,14,2.0,14.66,6.6,5.26,0.0,-1.3900000000000006,999.0,999.0,14.0,False,0
4.2,4,-1.6,82.49,11.23,16,-1.0,-1.0,-1.0,1.46,0.0,12.23,999.0,999.0,16.0,False,0
4.2,5,-1.6,93.89,3.84,16,4.0,11.23,6.4,9.33,0.0,-7.390000000000001,999.0,999.0,16.0,False,0
4.2,10101,-79.3,-1.6,9.22,21,-1.0,-1.0,-1.0,1.97,0.0,10.22,999.0,999.0,21.0,False,0
4.3,0,-89.35,-1.6,6.64,21,10101.0,9.37,5.99,2.75,0.0,-2.7299999999999995,999.0,999.0,21.0,False,0
4.3,2,61.84,1.6,14.46,14,-1.0,-1.0,-1.0,-2.0,2.0,15.46,999.0,67.7329,14.0,False,0
4.3,3,73.58,1.6,13.07,14,2.0,14.46,6.74,-2.0,2.0,-1.3900000000000006,999.0,41.316225,14.0,False,0
4.3,4,-1.6,81.38,11.07,16,-1.0,-1.0,-1.0,-1.65,1.65,12.07,999.0,49.20481818181819,16.0,False,0
4.3,5,-1.6,93.43,4.63,16,4.0,11.07,7.05,7.94,0.0,-6.44,999.0,999.0,16.0,False,0
4.3,10101,-78.36,-1.6,9.37,21,-1.0,-1.0,-1.0,1.51,0.0,10.37,999.0,999.0,21.0,False,0
4.4,0,-88.66,-1.6,6.9,21,10101.0,9.65,6.26,2.63,0.0,-2.75,999.0,999.0,21.0,False,0
4.4,2,60.41,1.6,14.26,14,-1.0,-1.0,-1.0,-2.0,2.0,15.26,999.0,66.0969,14.0,False,0
4.4,3,72.29,1.6,12.87,14,2.0,14.26,6.88,-2.0,2.0,-1.3900000000000006,999.0,40.01922499999999,14.0,False,0
4.4,4,-1.6,80.26,11.25,16,-1.0,-1.0,-1.0,1.84,0.0,12.25,999.0,999.0,16.0,False,0
