Time,VehicleId,Pos_x,Pos_y,Angle,Type,Speed,Lane,Slope,Acceleration,LeaderID,LeaderSpeed,LeaderGap,speed_squared,speed_normalized,combined_risk_score
0.017379679144385027,10101,-91.63,-1.6,90.0,obstacle,6.02,west_right_0,0,1.96,-1,-1.0,-1.0,36.240399999999994,0.04630769230769231,0.0
0.018048128342245992,2,85.26,1.6,270.0,type3,14.36,east_left_0,0,-1.94,-1,-1.0,-1.0,206.2096,0.11046153846153846,0.0
0.018048128342245992,3,94.02,1.6,270.0,type3,8.77,east_left_0,0,87.66,2,14.36,3.76,76.9129,0.06746153846153846,0.0
0.018048128342245992,10101,-91.01,-1.6,90.0,obstacle,6.18,west_right_0,0,1.61,-1,-1.0,-1.0,38.1924,0.047538461538461536,0.0
0.01871657754010695,2,83.78,1.6,270.0,type3,14.78,east_left_0,0,4.18,-1,-1.0,-1.0,218.4484,0.11369230769230769,0.0
0.01871657754010695,3,92.81,1.6,270.0,type3,12.14,east_left_0,0,33.73,2,14.78,4.03,147.3796,0.09338461538461539,0.0
0.01871657754010695,10101,-90.38,-1.6,90.0,obstacle,6.35,west_right_0,0,1.67,-1,-1.0,-1.0,40.3225,0.048846153846153845,0.0
0.019385026737967916,2,82.32,1.6,270.0,type3,14.58,east_left_0,0,-2.0,-1,-1.0,-1.0,212.5764,0.11215384615384616,0.0
0.019385026737967916,3,91.51,1.6,270.0,type3,12.95,east_left_0,0,8.1,2,14.58,4.19,167.7025,0.0996153846153846,0.0
0.019385026737967916,10101,-89.72,-1.6,90.0,obstacle,6.58,west_right_0,0,2.31,-1,-1.0,-1.0,43.2964,0.05061538461538462,0.0
0.020053475935828877,2,80.85,1.6,270.0,type3,14.71,east_left_0,0,1.29,-1,-1.0,-1.0,216.38410000000002,0.11315384615384616,0.0
0.020053475935828877,3,90.24,1.6,270.0,type3,12.79,east_left_0,0,-1.56,2,14.71,4.38,163.58409999999998,0.09838461538461538,0.0
0.020053475935828877,4,-1.6,94.9,180.0,type2,0.0,north_down_0,0,0.0,-1,-1.0,-1.0,0.0,0.0,0.0
0.020053475935828877,10101,-89.04,-1.6,90.0,obstacle,6.83,west_right_0,0,2.49,-1,-1.0,-1.0,46.6489,0.05253846153846154,0.0
0.020721925133689843,2,79.4,1.6,270.0,type3,14.51,east_left_0,0,-2.0,-1,-1.0,-1.0,210.5401,0.11161538461538462,0.0
0.020721925133689843,3,88.97,1.6,270.0,type3,12.67,east_left_0,0,-1.22,2,14.51,4.57,160.5289,0.09746153846153846,0.0
0.020721925133689843,4,-1.6,94.51,180.0,type2,3.94,north_down_0,0,39.39,-1,-1.0,-1.0,15.5236,0.030307692307692306,0.0
0.020721925133689843,10101,-88.34,-1.6,90.0,obstacle,7.03,west_right_0,0,2.04,-1,-1.0,-1.0,49.4209,0.05407692307692308,0.0
0.021390374331550804,2,77.94,1.6,270.0,type3,14.63,east_left_0,0,1.27,-1,-1.0,-1.0,214.03690000000003,0.11253846153846155,0.0
0.021390374331550804,3,87.72,1.6,270.0,type3,12.47,east_left_0,0,-2.0,2,14.63,4.78,155.50090000000003,0.09592307692307693,0.0
0.021390374331550804,4,-1.6,93.73,180.0,type2,7.76,north_down_0,0,38.21,-1,-1.0,-1.0,60.2176,0.05969230769230769,0.0
0.021390374331550804,10101,-87.61,-1.6,90.0,obstacle,7.22,west_right_0,0,1.89,-1,-1.0,-1.0,52.1284,0.05553846153846154,0.0
0.022058823529411763,0,-94.9,-1.6,90.0,type1,0.0,west_right_0,0,0.0,10101,7.42,3.03,0.0,0.0,0.0
0.022058823529411763,2,76.5,1.6,270.0,type3,14.43,east_left_0,0,-2.0,-1,-1.0,-1.0,208.2249,0.111,0.0
0.022058823529411763,3,86.42,1.6,270.0,type3,12.97,east_left_0,0,4.99,2,14.43,4.93,168.22090000000003,0.09976923076923078,0.0
0.022058823529411763,4,-1.6,92.58,180.0,type2,11.54,north_down_0,0,37.79,-1,-1.0,-1.0,133.17159999999998,0.08876923076923077,0.0
0.022058823529411763,10101,-86.87,-1.6,90.0,obstacle,7.42,west_right_0,0,2.04,-1,-1.0,-1.0,55.0564,0.057076923076923074,0.0
0.022727272727272728,0,-94.47,-1.6,90.0,type1,4.33,west_right_0,0,43.31,10101,7.6,3.36,18.7489,0.03330769230769231,0.0
0.022727272727272728,2,75.04,1.6,270.0,type3,14.57,east_left_0,0,1.37,-1,-1.0,-1.0,212.28490000000002,0.11207692307692307,0.0
0.022727272727272728,3,85.15,1.6,270.0,type3,12.77,east_left_0,0,-2.0,2,14.57,5.11,163.07289999999998,0.09823076923076923,0.0
0.022727272727272728,4,-1.6,91.44,180.0,type2,11.36,north_down_0,0,-1.83,-1,-1.0,-1.0,129.0496,0.08738461538461538,0.0
0.022727272727272728,10101,-86.11,-1.6,90.0,obstacle,7.6,west_right_0,0,1.79,-1,-1.0,-1.0,57.76,0.05846153846153846,0.0
0.02339572192513369,0,-94.0,-1.6,90.0,type1,4.68,west_right_0,0,3.5,10101,7.83,3.67,21.902399999999997,0.036,0.0
0.02339572192513369,2,73.54,1.6,270.0,type3,14.99,east_left_0,0,4.17,-1,-1.0,-1.0,224.70010000000002,0.1153076923076923,0.0
0.02339572192513369,3,83.88,1.6,270.0,type3,12.66,east_left_0,0,-1.11,2,14.99,5.34,160.2756,0.09738461538461539,0.0
0.02339572192513369,4,-1.6,90.32,180.0,type2,11.25,north_down_0,0,-1.06,-1,-1.0,-1.0,126.5625,0.08653846153846154,0.0
0.02339572192513369,10101,-85.33,-1.6,90.0,obstacle,7.83,west_right_0,0,2.25,-1,-1.0,-1.0,61.3089,0.060230769230769234,0.0
0.024064171122994655,0,-93.52,-1.6,90.0,type1,4.8,west_right_0,0,1.23,10101,8.07,4.0,23.04,0.03692307692307692,0.0
0.024064171122994655,2,72.06,1.6,270.0,type3,14.79,east_left_0,0,-2.0,-1,-1.0,-1.0,218.74409999999997,0.11376923076923076,0.0
0.024064171122994655,3,82.57,1.6,270.0,type3,13.12,east_left_0,0,4.63,2,14.79,5.51,172.13439999999997,0.10092307692307692,0.0
0.024064171122994655,4,-1.6,89.17,180.0,type2,11.41,north_down_0,0,1.61,-1,-1.0,-1.0,130.1881,0.08776923076923077,0.0
0.024064171122994655,10101,-84.52,-1.6,90.0,obstacle,8.07,west_right_0,0,2.45,-1,-1.0,-1.0,65.12490000000001,0.06207692307692308,0.0
0.024732620320855617,0,-92.99,-1.6,90.0,type1,5.29,west_right_0,0,4.9,10101,8.24,4.29,27.9841,0.040692307692307694,0.0
0.024732620320855617,2,70.6,1.6,270.0,type3,14.59,east_left_0,0,-2.0,-1,-1.0,-1.0,212.8681,0.11223076923076923,0.0
0.024732620320855617,3,81.28,1.6,270.0,type3,12.92,east_left_0,0,-2.0,2,14.59,5.67,166.9264,0.09938461538461539,0.0
0.024732620320855617,4,-1.6,88.07,180.0,type2,11.07,north_down_0,0,-3.44,-1,-1.0,-1.0,122.54490000000001,0.08515384615384615,0.0
0.024732620320855617,10101,-83.7,-1.6,90.0,obstacle,8.24,west_right_0,0,1.7,-1,-1.0,-1.0,67.8976,0.06338461538461539,0.0
0.02540106951871658,0,-92.44,-1.6,90.0,type1,5.48,west_right_0,0,1.91,10101,8.4,4.58,30.030400000000004,0.04215384615384616,0.0
0.02540106951871658,2,69.14,1.6,270.0,type3,14.62,east_left_0,0,0.34,-1,-1.0,-1.0,213.74439999999998,0.11246153846153846,0.0
0.02540106951871658,3,80.0,1.6,270.0,type3,12.72,east_left_0,0,-2.0,2,14.62,5.86,161.79840000000002,0.09784615384615385,0.0
0.02540106951871658,4,-1.6,86.95,180.0,type2,11.17,north_down_0,0,1.04,-1,-1.0,-1.0,124.7689,0.08592307692307692,0.0
0.02540106951871658,5,-1.6,94.9,180.0,type4,0.0,north_down_0,0,0.0,4,11.17,2.95,0.0,0.0,0.0
